Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Tracker,Variant Inventory Qty,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,Status
incia-natural-liquid-laundry-liquid-soap,INCIA Natural Baby Laundry Liquid Soap,"<p>INCIA Natural Baby Laundry Liquid Soap — Gentle, Hypoallergenic Washing Liquid for Babies & Sensitive Skin Keep your baby's clothes, muslins and bedding perfectly clean with INCIA Natural Baby Laundry Liquid Soap. Specially formulated for delicate baby skin, this hypoallergenic liquid detergent is free from harsh chemicals, synthetic fragrances and artificial dyes — making it safe for even the most sensitive newborn skin.</p>
<h3>Key Benefits</h3><ul>
  <li>Hypoallergenic and dermatologically tested — safe for newborns and sensitive skin</li>
  <li>Free from synthetic fragrances, dyes and parabens</li>
  <li>Contains coconut soap — a powerful natural stain remover</li>
  <li>Effective on white, dark and coloured laundry</li>
  <li>Suitable for babies with eczema, dry skin or skin allergies</li>
  <li>Biodegradable formula — kind to your family and the environment</li>
  <li>Safe for use in standard and high-efficiency washing machines Why Choose INCIA Baby Laundry Soap?Many conventional laundry detergents contain chemical surfactants and artificial fragrances that remain on fabric fibres and can irritate a baby's delicate skin. INCIA uses only natural, plant-derived ingredients including coconut soap — one of nature's most effective stain fighters — to give you a thorough clean without the harmful residue. It's the responsible choice for families who care about what touches their baby's skin every day.  Suitable from birth</li>
</ul>
<p><em>Available in 750ml.</em></p>",INCIA,Beauty & Personal Care,Household,"baby, household",TRUE,MINC-000039,8.50,,,,TRUE,TRUE,,,active
incia-natural-remedy-for-insect-bites,INCIA Natural Remedy for Insect Bites,"<p>INCIA Natural Remedy for Insect Bites is a 100% natural insect repellent lotion that protects against mosquitoes, ticks, midges and other biting insects for up to 6 hours — without any DEET. With UK summers increasingly attracting midges, mosquitoes and the risk of tick-borne diseases like Lyme disease, this is a must-have for outdoor families.</p>
<h3>Key Benefits</h3><ul>
  <li>- DEET-free natural insect repellent- Up to 6 hours of protection against mosquitoes and ticks- Micro-encapsulated lemon eucalyptus oil for prolonged, controlled release- Suitable for babies, children and adults- Hypoallergenic — gentle on sensitive skin- Hydrating formula with squalane and vitamin E — won’t dry out skin- 100% natural ingredients- Cruelty-free and vegan The micro-encapsulation technology: Unlike conventional insect repellents, INCIA uses micro-encapsulated lemon eucalyptus oil. The oil is stored in 100% natural microcapsules invisible to the naked eye. These capsules release the repellent gradually and in a controlled manner — keeping insects at bay for significantly longer than standard formulas. The microcapsules are completely skin-safe and biodegradable. Apply to exposed skin and reapply every 6 hours for optimal protection. 100ml</li>
</ul>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000079,10.00,,,,TRUE,TRUE,,,active
incia-natural-sunscreen,INCIA Natural Sunscreen Lotion for All Family,"<p>INCIA Natural Sunscreen Lotion for All Family SPF50 — Mineral Sun Protection for the Whole Family Protect every member of your family with confidence using INCIA Natural Sunscreen Lotion SPF50. This 100% natural, mineral sunscreen uses non-nano, Ecocert-certified titanium dioxide as its active UV filter — reflecting harmful UVA and UVB rays rather than absorbing them into the skin. Safe for adults, children and sensitive skin types, this clean formula contains no synthetic chemicals that can enter the bloodstream.</p>
<h3>Key Benefits</h3><ul>
  <li>SPF50 broad-spectrum UVA & UVB mineral sun protection</li>
  <li>Non-nano Ecocert-certified titanium dioxide — reflects UV rays safely</li>
  <li>100% natural formula — no chemical UV filters, parabens or mineral oils</li>
  <li>Suitable for the whole family including young children</li>
  <li>Gentle enough for sensitive, reactive or eczema-prone skin</li>
  <li>Does not absorb into the bloodstream — unlike chemical sunscreens</li>
  <li>Lightweight lotion texture — comfortable for daily summer use</li>
  <li>Dermatologically tested and cruelty-free Why Choose a Mineral Sunscreen?Chemical sunscreens work by absorbing UV radiation into the skin, where it is converted to heat — a process that can irritate sensitive skin and raise concerns about systemic absorption. INCIA's mineral formula reflects UV rays on the skin's surface, providing effective sun protection without the chemicals. The ideal choice for eco-conscious families who want safe, clean sun care</li>
</ul>
<p><em>Available in 100ml.</em></p>",INCIA,Beauty & Personal Care,Sun Care,sun,TRUE,MINC-000108,14.00,,,,TRUE,TRUE,,,active
incia-natural-sunscreen-for-baby-and-child-spf50,INCIA Natural Sunscreen for Baby and Child SPF50,"<p>INCIA Natural Sunscreen for Baby and Child SPF 50 is a mineral, chemical-free sunscreen specially formulated for the sensitive skin of babies and young children. With a high SPF 50 protection factor, it shields against both UVA and UVB rays while being completely free from parabens, synthetic fragrances and harmful chemicals.</p>
<h3>Key Benefits</h3><ul>
  <li>- SPF 50 mineral protection against UVA and UVB radiation- 100% natural, chemical-free formula- Non-nano titanium dioxide — works immediately on application- Waterproof formula- Suitable for the most sensitive baby and child skin- Contains tamanu oil for antioxidant and anti-ageing properties- Cruelty-free and vegan Why mineral sunscreen? Unlike chemical sunscreens, mineral sunscreen sits on top of the skin and reflects UV rays rather than absorbing them. This means no chemicals are absorbed into your child's body. Chemical filters from conventional sunscreens can also harm aquatic ecosystems — INCIA's natural formula is kinder to the environment too. All plant-based oils in this sunscreen are cold-pressed under ideal conditions to preserve their beneficial properties. The formula contains calendula oil and tamanu oil (Calophyllum Inophyllum) for additional skin nourishment and protection. Perfect for the beach, the park, or any sunny UK day — even when it looks cloudy, up to 80% of UV rays still penetrate through clouds</li>
</ul>",INCIA,Beauty & Personal Care,Sun Care,"baby, sun",TRUE,MINC-000101,13.00,,,,TRUE,TRUE,,,active
incia-natural-sunscreen-for-face-spf50,INCIA Natural Sunscreen for Face SPF50,"<p>INCIA Natural Sunscreen for Face SPF50 — Anti-Ageing Mineral Face Sunscreen with Hyaluronic Acid Your daily natural face protection is here. INCIA Natural Sunscreen for Face SPF50 combines powerful mineral sun protection with anti-ageing skincare in one lightweight, 100% natural formula. Using non-nano, Ecocert-certified titanium dioxide to reflect UVA and UVB rays, plus hyaluronic acid to plump and hydrate, it protects your skin from both sun damage and premature ageing — without chemical filters or synthetic additives.</p>
<h3>Key Benefits</h3><ul>
  <li>SPF50 broad-spectrum UVA & UVB mineral protection for the face</li>
  <li>Hyaluronic acid — attracts and retains moisture, plumps skin and reduces fine lines</li>
  <li>Natural oils and botanical acids protect against sun-induced premature ageing</li>
  <li>Non-nano Ecocert titanium dioxide — reflects UV without skin absorption</li>
  <li>No synthetic fragrances, parabens, mineral oils or chemical UV filters</li>
  <li>Contributes to a natural, healthy glow on the face</li>
  <li>Lightweight formula — ideal as a daily moisturiser with SPF</li>
  <li>Suitable for sensitive and reactive skin types Why Choose INCIA Face Sunscreen?Sun exposure is the primary cause of premature skin ageing. INCIA Natural Face Sunscreen SPF50 gives you effective daily protection while simultaneously hydrating and caring for your skin with hyaluronic acid and nourishing natural ingredients. The mineral formula is free from chemical UV filters and is gentle enough for daily use on even the most sensitive facial skin</li>
</ul>
<p><em>Available in 50ml tube.</em></p>",INCIA,Beauty & Personal Care,Sun Care,sun,TRUE,MINC-000065,12.00,,,,TRUE,TRUE,,,active
incia-natural-toothpaste,INCIA Natural Toothpaste,"<p>INCIA Natural Toothpaste — Fluoride-Free, SLS-Free Natural Toothpaste with Xylitol & Cinnamon Clean your teeth naturally without the harsh chemicals found in conventional toothpastes. INCIA Natural Toothpaste is a 100% natural, fluoride-free toothpaste formulated with xylitol to fight bacteria, cinnamon extract as a natural preservative with anti-inflammatory properties, and plant-derived coconut soap for gentle, effective cleansing. Free from SLS, SLES and synthetic preservatives.</p>
<h3>Key Benefits</h3><ul>
  <li>Xylitol — naturally reduces harmful oral bacteria and prevents tooth decay</li>
  <li>Cinnamon extract — natural preservative with anti-inflammatory, antibacterial properties</li>
  <li>Potassium cocoate (coconut soap) — gentle plant-based cleaning agent</li>
  <li>Free from SLS and SLES — no harsh foaming agents that dry out oral tissue</li>
  <li>Free from fluoride, parabens, artificial flavours and synthetic preservatives</li>
  <li>Hydrated silica — gentle abrasive for effective plaque removal</li>
  <li>Glycerine — keeps gums and mouth tissue moisturised</li>
  <li>Suitable for adults, teens and those with sensitive gums Why Choose INCIA Natural Toothpaste?Many conventional toothpastes contain SLS (sodium lauryl sulphate) which can irritate the gum tissue and disrupt the mouth's natural microbiome. INCIA uses only plant-derived, naturally derived actives — xylitol for cavity prevention, cinnamon for natural antibacterial action, and coconut-derived soap for a thorough yet gentle clean. A cleaner choice for your daily oral care routine.  Contains xylitol — keep away from pets</li>
</ul>
<p><em>Available in 50ml tube.</em></p>",INCIA,Beauty & Personal Care,Personal Care,personal-care,TRUE,MINC-000118,7.00,,,,TRUE,TRUE,,,active
incia-nipple-cream,INCIA Nipple Cream,"<p>INCIA Nipple Cream — 100% Natural, Breastfeeding-Safe Nipple Balm Soothe, protect and heal sore, cracked nipples with INCIA Nipple Cream — a 100% natural balm made with the safest, purest ingredients available. Enriched with olive oil, beeswax, shea butter, calendula oil and vitamin E, this gentle nipple cream provides instant relief from soreness, helps prevent and heal cracks, and is completely safe for both mother and baby during breastfeeding — no need to wipe off before feeding.</p>
<h3>Key Benefits</h3><ul>
  <li>100% natural formula — completely safe for mother and baby during breastfeeding</li>
  <li>Olive oil and shea butter — deeply nourishing and healing for sore, cracked skin</li>
  <li>Calendula oil — traditionally used to soothe inflamed and irritated skin</li>
  <li>Beeswax — creates a protective barrier to lock in moisture</li>
  <li>Vitamin E — antioxidant, supports skin repair and healing</li>
  <li>No need to remove before breastfeeding — safe to use immediately before feeds</li>
  <li>Free from petroleum-derived ingredients that can affect hormone levels</li>
  <li>Free from parabens, synthetic fragrances and artificial preservatives Why Choose INCIA Nipple Cream?Many conventional nipple creams contain petroleum-derived ingredients (like lanolin or mineral oil) that can form an artificial barrier and may raise concerns about safety during breastfeeding. INCIA uses only 100% natural, plant-based ingredients that are safe for your skin and your baby. The cream absorbs naturally, providing genuine healing rather than just temporary relief</li>
</ul>
<p><em>Available in 30ml.</em></p>",INCIA,Beauty & Personal Care,Baby & Pregnancy,baby,TRUE,MINC-000105,8.00,,,,TRUE,TRUE,,,active
incia-preventive-and-natural-diaper-rash-gel,INCIA Preventive and Natural Diaper Rash Gel,"<p>INCIA Preventive and Natural Diaper Rash Gel is a 100% natural nappy rash cream formulated with the softest, most sensitive baby skin in mind. With an improved water-based formula for lighter texture and faster absorption, this gentle gel soothes redness, relieves irritation and helps restore the natural skin barrier — making nappy changes kinder on your baby.</p>
<h3>Key Benefits</h3><ul>
  <li>- Helps relieve and prevent nappy rash (diaper rash)- Hypoallergenic and dermatologically tested- Soothes redness and irritation with natural oils and shea butter- Contains St. John's Wort oil — ideal for minor grazes and bumps- New water-based formula absorbs quickly, no greasy residue- 100% natural and now fully vegan- Cruelty-free Nappy rash affects most babies at some point — caused by prolonged contact with urine or faeces, friction or sensitive skin. INCIA's formula uses Centella Asiatica extract (asiaticoside, madecassic acid), sea buckthorn oil, calendula oil and jojoba oil to nourish, protect and speed up the skin's natural recovery. The mild Zinc PCA content helps calm redness without the heavy, occlusive feeling of traditional zinc oxide nappy creams. Also works as a gentle first-aid cream for toddlers' scrapes and minor skin irritations. Apply a thin layer to clean, dry skin at each nappy change. 60ml tube</li>
</ul>",INCIA,Beauty & Personal Care,Baby & Pregnancy,baby,TRUE,MINC-000103,10.00,,,,TRUE,TRUE,,,active
incia-sos-stick,INCIA SOS Stick,"<p>INCIA SOS Stick — Intensive Natural Healing Balm for Dry, Cracked & Damaged Skin The ultimate multitasking natural remedy for skin that needs urgent rescue. INCIA SOS Stick is a concentrated, 100% natural healing balm packed with 9 powerful botanical oils and butters — including rare sea buckthorn oil, shea butter, calendula oil and St. John's Wort — to deeply repair, soothe and protect even the most cracked, dry or irritated skin.</p>
<h3>Key Benefits</h3><ul>
  <li>Sea buckthorn oil — rich in Omega-7, promotes rapid cell regeneration</li>
  <li>St. John's Wort oil — traditionally used to soothe inflamed and irritated skin</li>
  <li>Calendula oil — calming and healing for sensitive and reactive skin</li>
  <li>Shea butter — deeply nourishing and long-lasting moisture barrier</li>
  <li>Evening primrose & borage oil — essential fatty acids for skin repair</li>
  <li>Vitamin E — natural antioxidant to protect and renew skin cells</li>
  <li>Beeswax — forms a protective barrier to lock in moisture</li>
  <li>Free from parabens, mineral oils, artificial fragrances and preservatives</li>
  <li>Cruelty-free formula Why Choose INCIA SOS Stick?Whether it's cracked heels, chapped lips, dry cuticles, rough elbows or irritated patches, INCIA SOS Stick delivers rapid, natural relief. This concentrated stick format means no mess, perfect portability and precise application — ideal for handbag, gym bag or travel. A true SOS for skin that needs instant care. 5g solid stick</li>
</ul>
<p><em>Available in 9.</em></p>",INCIA,Beauty & Personal Care,Personal Care,,TRUE,MINC-000102,9.50,,,,TRUE,TRUE,,,active
incia-strecth-mark-gel-cream-75ml,INCIA Stretch Mark Gel Cream 75ml,"<p>INCIA Stretch Mark Gel Cream is a 100% natural, multi-purpose body cream specially formulated to help prevent and reduce the appearance of stretch marks on dry and damaged skin. Whether you're pregnant, recovering from weight changes, or simply dealing with dry skin, this rich cream delivers intensive nourishment and helps maintain skin elasticity.</p>
<h3>Key Benefits</h3><ul>
  <li>- Helps prevent and reduce stretch marks (striae)- Contains dragon's blood resin (Croton Lechleri) for skin firming- Deeply hydrating and protective formula- Rich in shea butter, argan oil and apricot kernel oil for a natural glow- 100% natural — no synthetic fragrances or colourants- Safe for use during pregnancy- Cruelty-free and vegan The power of dragon's blood: One of the star ingredients in this cream is dragon's blood, a resin from the Croton Lechleri tree of South America, used in traditional medicine for centuries. When applied to the skin, it forms a protective layer, has antibacterial properties, and firms skin tissue — helping to restore the skin's natural structure and resilience. Combined with nourishing shea butter (rich in vitamins A and E), argan oil for long-lasting hydration, and apricot kernel oil for a natural glow, this cream is a complete treat for your skin. Use daily after showering on the abdomen, breasts, hips and thighs — all common areas for stretch marks. 75ml</li>
</ul>",INCIA,Beauty & Personal Care,Baby & Pregnancy,baby,TRUE,MINC-000104,13.50,,,,TRUE,TRUE,,,active
